Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,429,0.012400459637913253,10,441,0.041948879156967656,pointwise_by_region,441.0
greedycost,1,429,0.012400459637913253,10,436,0.03485607089965781,pointwise_by_region,436.0
greedycost,42,429,0.012400459637913253,10,438,0.06519172699294573,pointwise_by_region,438.0
greedycost,456,429,0.012400459637913253,10,440,0.09948688254385207,pointwise_by_region,440.0
greedycost,123,429,0.012400459637913253,10,436,0.046398369141133156,pointwise_by_region,436.0
greedycost,789,429,0.012400459637913253,20,447,0.05010620141487865,pointwise_by_region,447.0
greedycost,1,429,0.012400459637913253,20,443,0.051600992497639386,pointwise_by_region,443.0
greedycost,42,429,0.012400459637913253,20,449,0.05934353714264373,pointwise_by_region,449.0
greedycost,456,429,0.012400459637913253,20,451,0.17725129380175042,pointwise_by_region,451.0
greedycost,123,429,0.012400459637913253,20,449,0.09288551577298665,pointwise_by_region,449.0
greedycost,789,429,0.012400459637913253,30,460,0.0900545989301601,pointwise_by_region,460.0
greedycost,1,429,0.012400459637913253,30,453,0.08149431438277621,pointwise_by_region,453.0
greedycost,42,429,0.012400459637913253,30,459,0.10348799304377143,pointwise_by_region,459.0
greedycost,456,429,0.012400459637913253,30,458,0.1534560325428298,pointwise_by_region,458.0
greedycost,123,429,0.012400459637913253,30,466,0.18249546366559222,pointwise_by_region,466.0
greedycost,789,429,0.012400459637913253,40,469,0.09656490802815454,pointwise_by_region,469.0
greedycost,1,429,0.012400459637913253,40,468,0.1730520063422346,pointwise_by_region,468.0
greedycost,42,429,0.012400459637913253,40,467,0.1241546432470737,pointwise_by_region,467.0
greedycost,456,429,0.012400459637913253,40,468,0.1743742178726394,pointwise_by_region,468.0
greedycost,123,429,0.012400459637913253,40,482,0.15220962033711183,pointwise_by_region,482.0
greedycost,789,429,0.012400459637913253,50,479,0.13242158517873504,pointwise_by_region,479.0
greedycost,1,429,0.012400459637913253,50,480,0.19992661229995545,pointwise_by_region,480.0
greedycost,42,429,0.012400459637913253,50,478,0.20650337392315488,pointwise_by_region,478.0
greedycost,456,429,0.012400459637913253,50,478,0.23511008847485015,pointwise_by_region,478.0
greedycost,123,429,0.012400459637913253,50,489,0.19580301914883913,pointwise_by_region,489.0
greedycost,789,429,0.012400459637913253,60,495,0.17042582578630427,pointwise_by_region,495.0
greedycost,1,429,0.012400459637913253,60,492,0.22606233741972814,pointwise_by_region,492.0
greedycost,42,429,0.012400459637913253,60,490,0.2232636299916797,pointwise_by_region,490.0
greedycost,456,429,0.012400459637913253,60,488,0.20904956606458502,pointwise_by_region,488.0
greedycost,123,429,0.012400459637913253,60,501,0.16907587946403013,pointwise_by_region,501.0
greedycost,789,429,0.012400459637913253,70,500,0.17713581973550352,pointwise_by_region,500.0
