Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,101,-0.327597023748478,10,-0.15276999302292804
inversetypiclust,1,101,-0.327597023748478,10,-0.07666907153647018
inversetypiclust,42,101,-0.327597023748478,10,-0.23719113338238595
inversetypiclust,456,101,-0.327597023748478,10,-0.022810137451102053
inversetypiclust,123,101,-0.327597023748478,10,-0.19145998295784938
inversetypiclust,789,101,-0.327597023748478,20,-0.010060680114903464
inversetypiclust,1,101,-0.327597023748478,20,0.14053763638361683
inversetypiclust,42,101,-0.327597023748478,20,-0.07499845587417564
inversetypiclust,456,101,-0.327597023748478,20,-0.062190544466990794
inversetypiclust,123,101,-0.327597023748478,20,-0.0858521154151286
inversetypiclust,789,101,-0.327597023748478,30,0.06989651511996098
inversetypiclust,1,101,-0.327597023748478,30,0.17533290431712056
inversetypiclust,42,101,-0.327597023748478,30,0.012859396917306198
inversetypiclust,456,101,-0.327597023748478,30,0.0757067878092027
inversetypiclust,123,101,-0.327597023748478,30,0.055141627897826395
inversetypiclust,789,101,-0.327597023748478,40,0.1345170088987172
inversetypiclust,1,101,-0.327597023748478,40,-0.027390236198891804
inversetypiclust,42,101,-0.327597023748478,40,0.10591411628160097
inversetypiclust,456,101,-0.327597023748478,40,0.14454476374116343
inversetypiclust,123,101,-0.327597023748478,40,0.19782630839242277
inversetypiclust,789,101,-0.327597023748478,50,0.10268573436022133
inversetypiclust,1,101,-0.327597023748478,50,0.24646681776010004
inversetypiclust,42,101,-0.327597023748478,50,0.035126263457129436
inversetypiclust,456,101,-0.327597023748478,50,0.15151755254536226
inversetypiclust,123,101,-0.327597023748478,50,0.20348365714244354
inversetypiclust,789,101,-0.327597023748478,60,0.1791217345941326
inversetypiclust,1,101,-0.327597023748478,60,0.28090216207833263
inversetypiclust,42,101,-0.327597023748478,60,0.10723582157082268
inversetypiclust,456,101,-0.327597023748478,60,0.11315876188807217
inversetypiclust,123,101,-0.327597023748478,60,0.2033647544313042
inversetypiclust,789,101,-0.327597023748478,70,0.1730950169647386
inversetypiclust,1,101,-0.327597023748478,70,0.33103625816309024
inversetypiclust,42,101,-0.327597023748478,70,0.17108557603458308
inversetypiclust,456,101,-0.327597023748478,70,0.09169342241114853
inversetypiclust,123,101,-0.327597023748478,70,0.23915206792483545
inversetypiclust,789,101,-0.327597023748478,80,0.21089456692022035
inversetypiclust,1,101,-0.327597023748478,80,0.24032158650604718
inversetypiclust,42,101,-0.327597023748478,80,0.252624843314762
inversetypiclust,456,101,-0.327597023748478,80,0.2616365985659401
inversetypiclust,123,101,-0.327597023748478,80,0.2599864380500866
inversetypiclust,789,101,-0.327597023748478,90,0.1853185853774394
inversetypiclust,1,101,-0.327597023748478,90,0.30953089303586756
inversetypiclust,42,101,-0.327597023748478,90,0.25444979494986375
inversetypiclust,456,101,-0.327597023748478,90,0.30852495567609717
inversetypiclust,123,101,-0.327597023748478,90,0.24010404776536287
inversetypiclust,789,101,-0.327597023748478,100,0.2251935224486985
inversetypiclust,1,101,-0.327597023748478,100,0.28505012229615034
inversetypiclust,42,101,-0.327597023748478,100,0.2795374516208303
inversetypiclust,456,101,-0.327597023748478,100,0.32005555205609404
inversetypiclust,123,101,-0.327597023748478,100,0.2619453880441892
inversetypiclust,789,101,-0.327597023748478,150,0.30022453517567826
inversetypiclust,1,101,-0.327597023748478,150,0.3495615805696015
inversetypiclust,42,101,-0.327597023748478,150,0.369477423362613
inversetypiclust,456,101,-0.327597023748478,150,0.37842909607209574
inversetypiclust,123,101,-0.327597023748478,150,0.3269907292754879
inversetypiclust,789,101,-0.327597023748478,200,0.3463766475295149
inversetypiclust,1,101,-0.327597023748478,200,0.39383467911619396
inversetypiclust,42,101,-0.327597023748478,200,0.3864106896467555
inversetypiclust,456,101,-0.327597023748478,200,0.4248217971486504
inversetypiclust,123,101,-0.327597023748478,200,0.3639394015580586
inversetypiclust,789,101,-0.327597023748478,1000,0.557384433443549
inversetypiclust,1,101,-0.327597023748478,1000,0.5391523017909438
inversetypiclust,42,101,-0.327597023748478,1000,0.5564397681268487
inversetypiclust,456,101,-0.327597023748478,1000,0.5687595899595107
inversetypiclust,123,101,-0.327597023748478,1000,0.5495353464182391
random,789,101,-0.327597023748478,10,-0.09652081433159809
random,1,101,-0.327597023748478,10,-0.014113167775886781
random,42,101,-0.327597023748478,10,-0.17934861411335623
random,456,101,-0.327597023748478,10,-0.1021374059515805
random,123,101,-0.327597023748478,10,-0.080319530380357
random,789,101,-0.327597023748478,20,0.12692452490616601
random,1,101,-0.327597023748478,20,0.10333502956440133
random,42,101,-0.327597023748478,20,-0.0327151483900574
random,456,101,-0.327597023748478,20,-0.005207212675207851
random,123,101,-0.327597023748478,20,0.015393577843021422
random,789,101,-0.327597023748478,30,0.01943237863243108
random,1,101,-0.327597023748478,30,0.18540607719722613
random,42,101,-0.327597023748478,30,0.02505268841627928
random,456,101,-0.327597023748478,30,0.13028654033508968
random,123,101,-0.327597023748478,30,0.09299118451809729
random,789,101,-0.327597023748478,40,0.16576004420056245
random,1,101,-0.327597023748478,40,0.2234933393852383
random,42,101,-0.327597023748478,40,0.17528165666964723
random,456,101,-0.327597023748478,40,0.10981265648847183
random,123,101,-0.327597023748478,40,0.18380635360073416
random,789,101,-0.327597023748478,50,0.1826802485401633
random,1,101,-0.327597023748478,50,0.26528589321285356
random,42,101,-0.327597023748478,50,0.17214760177862254
random,456,101,-0.327597023748478,50,0.17507458580880675
random,123,101,-0.327597023748478,50,0.24077440123483984
random,789,101,-0.327597023748478,60,0.3012580101719641
random,1,101,-0.327597023748478,60,0.2757378831410986
random,42,101,-0.327597023748478,60,0.1953202387795786
random,456,101,-0.327597023748478,60,0.204181511414125
random,123,101,-0.327597023748478,60,0.26687013009342153
random,789,101,-0.327597023748478,70,0.2973280019338359
random,1,101,-0.327597023748478,70,0.2818953019962188
random,42,101,-0.327597023748478,70,0.2484866487024867
random,456,101,-0.327597023748478,70,0.21920410462360207
random,123,101,-0.327597023748478,70,0.32390581912340954
random,789,101,-0.327597023748478,80,0.33731085974652264
random,1,101,-0.327597023748478,80,0.28721039124560166
random,42,101,-0.327597023748478,80,0.2833833066949961
random,456,101,-0.327597023748478,80,0.24745175983857426
