Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,223,0.45913558785879127,10,234,0.4542509788809076,pointwise_by_region,234.0
greedycost,1,223,0.45913558785879127,10,227,0.4749030747837715,pointwise_by_region,227.0
greedycost,42,223,0.45913558785879127,10,231,0.4739850445031799,pointwise_by_region,231.0
greedycost,456,223,0.45913558785879127,10,232,0.4672551627645697,pointwise_by_region,232.0
greedycost,123,223,0.45913558785879127,10,230,0.458168091320718,pointwise_by_region,230.0
greedycost,789,223,0.45913558785879127,20,246,0.4610774768364999,pointwise_by_region,246.0
greedycost,1,223,0.45913558785879127,20,234,0.4747943308409748,pointwise_by_region,234.0
greedycost,42,223,0.45913558785879127,20,241,0.47525835979364184,pointwise_by_region,241.0
greedycost,456,223,0.45913558785879127,20,241,0.46607167351410417,pointwise_by_region,241.0
greedycost,123,223,0.45913558785879127,20,242,0.481426010698329,pointwise_by_region,242.0
greedycost,789,223,0.45913558785879127,30,255,0.4593037807611908,pointwise_by_region,255.0
greedycost,1,223,0.45913558785879127,30,245,0.4562794370651292,pointwise_by_region,245.0
greedycost,42,223,0.45913558785879127,30,250,0.4754934348803186,pointwise_by_region,250.0
greedycost,456,223,0.45913558785879127,30,248,0.46915448473321064,pointwise_by_region,248.0
greedycost,123,223,0.45913558785879127,30,250,0.4680751022586206,pointwise_by_region,250.0
greedycost,789,223,0.45913558785879127,40,265,0.454200050309442,pointwise_by_region,265.0
greedycost,1,223,0.45913558785879127,40,258,0.4687080255368061,pointwise_by_region,258.0
greedycost,42,223,0.45913558785879127,40,257,0.47056890560865594,pointwise_by_region,257.0
greedycost,456,223,0.45913558785879127,40,257,0.47291011333513155,pointwise_by_region,257.0
greedycost,123,223,0.45913558785879127,40,266,0.49198234554450215,pointwise_by_region,266.0
greedycost,789,223,0.45913558785879127,50,277,0.4736385760206746,pointwise_by_region,277.0
greedycost,1,223,0.45913558785879127,50,267,0.48586752241037046,pointwise_by_region,267.0
greedycost,42,223,0.45913558785879127,50,265,0.49278767675738233,pointwise_by_region,265.0
greedycost,456,223,0.45913558785879127,50,265,0.4787951754896953,pointwise_by_region,265.0
greedycost,123,223,0.45913558785879127,50,283,0.474754379721945,pointwise_by_region,283.0
greedycost,789,223,0.45913558785879127,60,287,0.4658568593430903,pointwise_by_region,287.0
greedycost,1,223,0.45913558785879127,60,276,0.5160470115645341,pointwise_by_region,276.0
greedycost,42,223,0.45913558785879127,60,275,0.47830298266369653,pointwise_by_region,275.0
greedycost,456,223,0.45913558785879127,60,275,0.4865623437733293,pointwise_by_region,275.0
greedycost,123,223,0.45913558785879127,60,292,0.4750855915020986,pointwise_by_region,292.0
greedycost,789,223,0.45913558785879127,70,305,0.4732464819650998,pointwise_by_region,305.0
greedycost,1,223,0.45913558785879127,70,288,0.510056642990679,pointwise_by_region,288.0
greedycost,42,223,0.45913558785879127,70,287,0.4857321967755588,pointwise_by_region,287.0
greedycost,456,223,0.45913558785879127,70,286,0.48605148095341255,pointwise_by_region,286.0
greedycost,123,223,0.45913558785879127,70,299,0.4760180542955823,pointwise_by_region,299.0
greedycost,789,223,0.45913558785879127,80,316,0.4731619596848351,pointwise_by_region,316.0
greedycost,1,223,0.45913558785879127,80,301,0.5246727824052309,pointwise_by_region,301.0
greedycost,42,223,0.45913558785879127,80,298,0.4909283554751599,pointwise_by_region,298.0
greedycost,456,223,0.45913558785879127,80,295,0.48913325479908665,pointwise_by_region,295.0
greedycost,123,223,0.45913558785879127,80,312,0.45315203026660666,pointwise_by_region,312.0
greedycost,789,223,0.45913558785879127,90,320,0.47276990925574225,pointwise_by_region,320.0
greedycost,1,223,0.45913558785879127,90,312,0.5224728199078837,pointwise_by_region,312.0
greedycost,42,223,0.45913558785879127,90,311,0.4981031812566682,pointwise_by_region,311.0
greedycost,456,223,0.45913558785879127,90,299,0.48960661168713293,pointwise_by_region,299.0
greedycost,123,223,0.45913558785879127,90,317,0.45329471569496205,pointwise_by_region,317.0
greedycost,789,223,0.45913558785879127,100,327,0.47558275152095175,pointwise_by_region,327.0
greedycost,1,223,0.45913558785879127,100,320,0.5202651930089144,pointwise_by_region,320.0
greedycost,42,223,0.45913558785879127,100,320,0.4974985384303511,pointwise_by_region,320.0
greedycost,456,223,0.45913558785879127,100,311,0.49405868151595167,pointwise_by_region,311.0
greedycost,123,223,0.45913558785879127,100,327,0.46658260406578367,pointwise_by_region,327.0
greedycost,789,223,0.45913558785879127,110,339,0.5050931506454719,pointwise_by_region,339.0
greedycost,1,223,0.45913558785879127,110,328,0.5166399551001374,pointwise_by_region,328.0
greedycost,42,223,0.45913558785879127,110,332,0.49801187016921356,pointwise_by_region,332.0
