Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,362,-0.10732700448487176,10,-0.020308202110887352
inversetypiclust,1,362,-0.10732700448487176,10,-0.04113401613500978
inversetypiclust,42,362,-0.10732700448487176,10,-0.0759365856245704
inversetypiclust,456,362,-0.10732700448487176,10,-0.01640402845832778
inversetypiclust,123,362,-0.10732700448487176,10,-0.08688459860348674
inversetypiclust,789,362,-0.10732700448487176,20,0.05704467073081321
inversetypiclust,1,362,-0.10732700448487176,20,0.050176313998612
inversetypiclust,42,362,-0.10732700448487176,20,0.013777212072407563
inversetypiclust,456,362,-0.10732700448487176,20,0.028675701560632705
inversetypiclust,123,362,-0.10732700448487176,20,-0.01688582422049345
inversetypiclust,789,362,-0.10732700448487176,30,0.08266814756486673
inversetypiclust,1,362,-0.10732700448487176,30,0.112003435697267
inversetypiclust,42,362,-0.10732700448487176,30,0.06496658135970168
inversetypiclust,456,362,-0.10732700448487176,30,0.1058833908462935
inversetypiclust,123,362,-0.10732700448487176,30,0.05744854093848395
inversetypiclust,789,362,-0.10732700448487176,40,0.11637703186268555
inversetypiclust,1,362,-0.10732700448487176,40,0.14684245177609623
inversetypiclust,42,362,-0.10732700448487176,40,0.10579592486190292
inversetypiclust,456,362,-0.10732700448487176,40,0.19285278010355278
inversetypiclust,123,362,-0.10732700448487176,40,0.09647540783891717
inversetypiclust,789,362,-0.10732700448487176,50,0.11639808821638253
inversetypiclust,1,362,-0.10732700448487176,50,0.1164929373869461
inversetypiclust,42,362,-0.10732700448487176,50,0.059730233147594625
inversetypiclust,456,362,-0.10732700448487176,50,0.1258045553850632
inversetypiclust,123,362,-0.10732700448487176,50,0.1697225831298913
inversetypiclust,789,362,-0.10732700448487176,60,0.1800956717469916
inversetypiclust,1,362,-0.10732700448487176,60,0.11561647455830448
inversetypiclust,42,362,-0.10732700448487176,60,0.122673081099266
inversetypiclust,456,362,-0.10732700448487176,60,0.23564782808453621
inversetypiclust,123,362,-0.10732700448487176,60,0.14782282872706387
inversetypiclust,789,362,-0.10732700448487176,70,0.1842749007033141
inversetypiclust,1,362,-0.10732700448487176,70,0.17868957165366572
inversetypiclust,42,362,-0.10732700448487176,70,0.16963514159346582
inversetypiclust,456,362,-0.10732700448487176,70,0.22968433602568128
inversetypiclust,123,362,-0.10732700448487176,70,0.1705739072579754
inversetypiclust,789,362,-0.10732700448487176,80,0.20804805015062777
inversetypiclust,1,362,-0.10732700448487176,80,0.19787055184426727
inversetypiclust,42,362,-0.10732700448487176,80,0.20684792606770885
inversetypiclust,456,362,-0.10732700448487176,80,0.16360429776345997
inversetypiclust,123,362,-0.10732700448487176,80,0.1871222044279619
inversetypiclust,789,362,-0.10732700448487176,90,0.2499775820583522
inversetypiclust,1,362,-0.10732700448487176,90,0.24667764901209221
inversetypiclust,42,362,-0.10732700448487176,90,0.2248462461232813
