Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,147,-0.016010511056479437,10,0.10518397066306184
inversetypiclust,1,147,-0.016010511056479437,10,-0.003433349601366764
inversetypiclust,42,147,-0.016010511056479437,10,0.09600344497828761
inversetypiclust,456,147,-0.016010511056479437,10,0.08312447419374724
inversetypiclust,123,147,-0.016010511056479437,10,0.17854219007256955
inversetypiclust,789,147,-0.016010511056479437,20,0.12482146057860233
inversetypiclust,1,147,-0.016010511056479437,20,0.19885613369340294
inversetypiclust,42,147,-0.016010511056479437,20,0.1702185467579016
inversetypiclust,456,147,-0.016010511056479437,20,0.17129226465733383
inversetypiclust,123,147,-0.016010511056479437,20,0.1734413841555732
inversetypiclust,789,147,-0.016010511056479437,30,0.06271486653767644
inversetypiclust,1,147,-0.016010511056479437,30,0.09136488194020864
inversetypiclust,42,147,-0.016010511056479437,30,0.22836935054113594
inversetypiclust,456,147,-0.016010511056479437,30,0.12923213118526533
inversetypiclust,123,147,-0.016010511056479437,30,0.26340576291217377
inversetypiclust,789,147,-0.016010511056479437,40,0.20275629088983038
inversetypiclust,1,147,-0.016010511056479437,40,0.2824671637409414
inversetypiclust,42,147,-0.016010511056479437,40,0.2250394557429355
inversetypiclust,456,147,-0.016010511056479437,40,0.20900366829349204
inversetypiclust,123,147,-0.016010511056479437,40,0.25529302674790655
inversetypiclust,789,147,-0.016010511056479437,50,0.15606234552763332
inversetypiclust,1,147,-0.016010511056479437,50,0.2905651241901829
inversetypiclust,42,147,-0.016010511056479437,50,0.2594089358975503
inversetypiclust,456,147,-0.016010511056479437,50,0.31779112010868316
inversetypiclust,123,147,-0.016010511056479437,50,0.27147776378888344
inversetypiclust,789,147,-0.016010511056479437,60,0.12512966024145633
inversetypiclust,1,147,-0.016010511056479437,60,0.25255499207699106
inversetypiclust,42,147,-0.016010511056479437,60,0.24050061473540452
inversetypiclust,456,147,-0.016010511056479437,60,0.2520487267642503
inversetypiclust,123,147,-0.016010511056479437,60,0.3072972031533757
inversetypiclust,789,147,-0.016010511056479437,70,0.26032018772459387
inversetypiclust,1,147,-0.016010511056479437,70,0.2814133106528559
inversetypiclust,42,147,-0.016010511056479437,70,0.34450673632722406
inversetypiclust,456,147,-0.016010511056479437,70,0.31262819818300336
inversetypiclust,123,147,-0.016010511056479437,70,0.3017912872660098
inversetypiclust,789,147,-0.016010511056479437,80,0.2177839787285788
inversetypiclust,1,147,-0.016010511056479437,80,0.3334396437354148
inversetypiclust,42,147,-0.016010511056479437,80,0.35558127630209746
inversetypiclust,456,147,-0.016010511056479437,80,0.33608224107618223
inversetypiclust,123,147,-0.016010511056479437,80,0.30265412555474414
inversetypiclust,789,147,-0.016010511056479437,90,0.2429347768944109
inversetypiclust,1,147,-0.016010511056479437,90,0.32789441028289146
inversetypiclust,42,147,-0.016010511056479437,90,0.3825730962518097
inversetypiclust,456,147,-0.016010511056479437,90,0.3586176256725525
inversetypiclust,123,147,-0.016010511056479437,90,0.3425065952405536
inversetypiclust,789,147,-0.016010511056479437,100,0.28310387220276423
inversetypiclust,1,147,-0.016010511056479437,100,0.31055831359612607
inversetypiclust,42,147,-0.016010511056479437,100,0.35423189476500816
inversetypiclust,456,147,-0.016010511056479437,100,0.35910868013355834
inversetypiclust,123,147,-0.016010511056479437,100,0.34390743011594604
inversetypiclust,789,147,-0.016010511056479437,1000,0.5336407665423856
inversetypiclust,1,147,-0.016010511056479437,1000,0.5561935502788022
inversetypiclust,42,147,-0.016010511056479437,1000,0.5739027514436545
inversetypiclust,456,147,-0.016010511056479437,1000,0.5804026320874284
inversetypiclust,123,147,-0.016010511056479437,1000,0.5575278619325437
random,789,147,-0.016010511056479437,10,0.0472855606665451
random,1,147,-0.016010511056479437,10,0.05319078260079002
random,42,147,-0.016010511056479437,10,0.08329029598962101
random,456,147,-0.016010511056479437,10,0.12129534441624523
random,123,147,-0.016010511056479437,10,0.0794939940735433
random,789,147,-0.016010511056479437,20,0.04189176896182001
random,1,147,-0.016010511056479437,20,0.13642042146813105
random,42,147,-0.016010511056479437,20,0.14324145657383336
random,456,147,-0.016010511056479437,20,0.17077849973719772
random,123,147,-0.016010511056479437,20,0.12056165261925389
random,789,147,-0.016010511056479437,30,0.07212636402137762
random,1,147,-0.016010511056479437,30,0.17080504573800026
random,42,147,-0.016010511056479437,30,0.2066679400543514
random,456,147,-0.016010511056479437,30,0.231025085786021
random,123,147,-0.016010511056479437,30,0.11252934193332531
random,789,147,-0.016010511056479437,40,0.1686320797705093
random,1,147,-0.016010511056479437,40,0.1804048892130311
random,42,147,-0.016010511056479437,40,0.2532169226143167
random,456,147,-0.016010511056479437,40,0.26226944395891505
random,123,147,-0.016010511056479437,40,0.2229554288637735
random,789,147,-0.016010511056479437,50,0.2109361272630359
random,1,147,-0.016010511056479437,50,0.15445960381651425
random,42,147,-0.016010511056479437,50,0.29489257674702773
random,456,147,-0.016010511056479437,50,0.28336835717467934
random,123,147,-0.016010511056479437,50,0.2548497611791968
random,789,147,-0.016010511056479437,60,0.23604238442533454
random,1,147,-0.016010511056479437,60,0.1678313347341428
random,42,147,-0.016010511056479437,60,0.32562627654945375
random,456,147,-0.016010511056479437,60,0.3165551848345872
random,123,147,-0.016010511056479437,60,0.29159911017515616
random,789,147,-0.016010511056479437,70,0.24670260580379233
random,1,147,-0.016010511056479437,70,0.2342697180268718
random,42,147,-0.016010511056479437,70,0.34368260013069474
random,456,147,-0.016010511056479437,70,0.32480669223542014
random,123,147,-0.016010511056479437,70,0.30965516538052384
random,789,147,-0.016010511056479437,80,0.24638794656566487
random,1,147,-0.016010511056479437,80,0.2494999599541975
random,42,147,-0.016010511056479437,80,0.36814819843626123
random,456,147,-0.016010511056479437,80,0.33251072663692527
random,123,147,-0.016010511056479437,80,0.33228308154232644
random,789,147,-0.016010511056479437,90,0.28996661832440296
random,1,147,-0.016010511056479437,90,0.3420782733149761
random,42,147,-0.016010511056479437,90,0.390469753110656
random,456,147,-0.016010511056479437,90,0.3301188083044828
random,123,147,-0.016010511056479437,90,0.3516400105847103
random,789,147,-0.016010511056479437,100,0.29532147232099604
random,1,147,-0.016010511056479437,100,0.33885684410758377
random,42,147,-0.016010511056479437,100,0.40031265781873326
random,456,147,-0.016010511056479437,100,0.34988668454298577
