Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,223,0.45913558785879127,10,0.46471532857910647
inversetypiclust,1,223,0.45913558785879127,10,0.4668802336058915
inversetypiclust,42,223,0.45913558785879127,10,0.4635734014024223
inversetypiclust,456,223,0.45913558785879127,10,0.4490446840622865
inversetypiclust,123,223,0.45913558785879127,10,0.47312174422689024
inversetypiclust,789,223,0.45913558785879127,20,0.4834427410239749
inversetypiclust,1,223,0.45913558785879127,20,0.4578086759557133
inversetypiclust,42,223,0.45913558785879127,20,0.46320506812619366
inversetypiclust,456,223,0.45913558785879127,20,0.4707765326728549
inversetypiclust,123,223,0.45913558785879127,20,0.46035463566284907
inversetypiclust,789,223,0.45913558785879127,30,0.4815285385183955
inversetypiclust,1,223,0.45913558785879127,30,0.481250015379462
inversetypiclust,42,223,0.45913558785879127,30,0.4779384412161771
inversetypiclust,456,223,0.45913558785879127,30,0.4651254494426722
inversetypiclust,123,223,0.45913558785879127,30,0.4618763709605118
inversetypiclust,789,223,0.45913558785879127,40,0.48114081550456866
inversetypiclust,1,223,0.45913558785879127,40,0.4861845683566367
inversetypiclust,42,223,0.45913558785879127,40,0.4426090940342493
inversetypiclust,456,223,0.45913558785879127,40,0.47835099790675206
inversetypiclust,123,223,0.45913558785879127,40,0.4564783211902903
inversetypiclust,789,223,0.45913558785879127,50,0.48261066244943107
inversetypiclust,1,223,0.45913558785879127,50,0.49776298752734016
inversetypiclust,42,223,0.45913558785879127,50,0.45974045225276206
inversetypiclust,456,223,0.45913558785879127,50,0.48308675639473886
inversetypiclust,123,223,0.45913558785879127,50,0.47827009130953757
inversetypiclust,789,223,0.45913558785879127,60,0.48658679437393704
inversetypiclust,1,223,0.45913558785879127,60,0.4777741452374331
inversetypiclust,42,223,0.45913558785879127,60,0.46281781438562253
inversetypiclust,456,223,0.45913558785879127,60,0.4805532560936465
inversetypiclust,123,223,0.45913558785879127,60,0.45945219718440855
