Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,295,0.4678260615656572,10,305,0.4653105298454435,pointwise_by_region,305.0
greedycost,1,295,0.4678260615656572,10,301,0.4745935481905492,pointwise_by_region,301.0
greedycost,42,295,0.4678260615656572,10,303,0.47621289954737156,pointwise_by_region,303.0
greedycost,456,295,0.4678260615656572,10,304,0.46119085809340254,pointwise_by_region,304.0
greedycost,123,295,0.4678260615656572,10,301,0.46804398976276085,pointwise_by_region,301.0
greedycost,789,295,0.4678260615656572,20,314,0.47777274255725144,pointwise_by_region,314.0
greedycost,1,295,0.4678260615656572,20,308,0.4741903720681683,pointwise_by_region,308.0
greedycost,42,295,0.4678260615656572,20,315,0.46839498278714076,pointwise_by_region,315.0
greedycost,456,295,0.4678260615656572,20,314,0.47691926987369826,pointwise_by_region,314.0
greedycost,123,295,0.4678260615656572,20,314,0.4698758856441627,pointwise_by_region,314.0
greedycost,789,295,0.4678260615656572,30,324,0.4839004062187737,pointwise_by_region,324.0
greedycost,1,295,0.4678260615656572,30,320,0.4884508764908475,pointwise_by_region,320.0
greedycost,42,295,0.4678260615656572,30,323,0.4643267600527392,pointwise_by_region,323.0
greedycost,456,295,0.4678260615656572,30,321,0.48618610308074717,pointwise_by_region,321.0
greedycost,123,295,0.4678260615656572,30,319,0.4799643600311788,pointwise_by_region,319.0
greedycost,789,295,0.4678260615656572,40,336,0.4837358096348362,pointwise_by_region,336.0
greedycost,1,295,0.4678260615656572,40,332,0.415436880722617,pointwise_by_region,332.0
greedycost,42,295,0.4678260615656572,40,332,0.4677836784437115,pointwise_by_region,332.0
greedycost,456,295,0.4678260615656572,40,329,0.48398065024808334,pointwise_by_region,329.0
greedycost,123,295,0.4678260615656572,40,336,0.4778441914862762,pointwise_by_region,336.0
greedycost,789,295,0.4678260615656572,50,348,0.47863822063251293,pointwise_by_region,348.0
greedycost,1,295,0.4678260615656572,50,342,0.4118655013228534,pointwise_by_region,342.0
greedycost,42,295,0.4678260615656572,50,340,0.4658881429028203,pointwise_by_region,340.0
greedycost,456,295,0.4678260615656572,50,339,0.48696089574560886,pointwise_by_region,339.0
greedycost,123,295,0.4678260615656572,50,352,0.48869789061819313,pointwise_by_region,352.0
greedycost,789,295,0.4678260615656572,60,357,0.488271419357056,pointwise_by_region,357.0
greedycost,1,295,0.4678260615656572,60,352,0.48962277044493163,pointwise_by_region,352.0
greedycost,42,295,0.4678260615656572,60,347,0.47520522328026826,pointwise_by_region,347.0
greedycost,456,295,0.4678260615656572,60,348,0.48733723408019314,pointwise_by_region,348.0
greedycost,123,295,0.4678260615656572,60,365,0.4908461348827159,pointwise_by_region,365.0
greedycost,789,295,0.4678260615656572,70,372,0.48609524751766087,pointwise_by_region,372.0
greedycost,1,295,0.4678260615656572,70,360,0.4885923256919871,pointwise_by_region,360.0
greedycost,42,295,0.4678260615656572,70,361,0.4717264400194502,pointwise_by_region,361.0
greedycost,456,295,0.4678260615656572,70,360,0.506766961282419,pointwise_by_region,360.0
greedycost,123,295,0.4678260615656572,70,369,0.5246824565369472,pointwise_by_region,369.0
greedycost,789,295,0.4678260615656572,80,386,0.4960169021708334,pointwise_by_region,386.0
greedycost,1,295,0.4678260615656572,80,375,0.4979623077599975,pointwise_by_region,375.0
greedycost,42,295,0.4678260615656572,80,372,0.47411640728350013,pointwise_by_region,372.0
greedycost,456,295,0.4678260615656572,80,368,0.4969058608104321,pointwise_by_region,368.0
greedycost,123,295,0.4678260615656572,80,383,0.5251660498878475,pointwise_by_region,383.0
greedycost,789,295,0.4678260615656572,90,391,0.5143384684350566,pointwise_by_region,391.0
greedycost,1,295,0.4678260615656572,90,388,0.5026333511449119,pointwise_by_region,388.0
greedycost,42,295,0.4678260615656572,90,382,0.4728467722513555,pointwise_by_region,382.0
greedycost,456,295,0.4678260615656572,90,372,0.4964036051560805,pointwise_by_region,372.0
greedycost,123,295,0.4678260615656572,90,387,0.526698984636129,pointwise_by_region,387.0
greedycost,789,295,0.4678260615656572,100,398,0.5147601430260087,pointwise_by_region,398.0
greedycost,1,295,0.4678260615656572,100,395,0.4897871937462067,pointwise_by_region,395.0
greedycost,42,295,0.4678260615656572,100,389,0.4702602222017198,pointwise_by_region,389.0
greedycost,456,295,0.4678260615656572,100,381,0.4942907521486398,pointwise_by_region,381.0
greedycost,123,295,0.4678260615656572,100,397,0.5249201828489024,pointwise_by_region,397.0
greedycost,789,295,0.4678260615656572,110,408,0.5176029252084422,pointwise_by_region,408.0
greedycost,1,295,0.4678260615656572,110,401,0.49646966918112123,pointwise_by_region,401.0
greedycost,42,295,0.4678260615656572,110,402,0.47880911028354556,pointwise_by_region,402.0
greedycost,456,295,0.4678260615656572,110,392,0.4943322146972914,pointwise_by_region,392.0
greedycost,123,295,0.4678260615656572,110,405,0.5203835084920394,pointwise_by_region,405.0
greedycost,789,295,0.4678260615656572,120,423,0.5049447629737875,pointwise_by_region,423.0
greedycost,1,295,0.4678260615656572,120,412,0.5163158548619773,pointwise_by_region,412.0
greedycost,42,295,0.4678260615656572,120,413,0.4855632419071615,pointwise_by_region,413.0
greedycost,456,295,0.4678260615656572,120,401,0.5006617433135541,pointwise_by_region,401.0
greedycost,123,295,0.4678260615656572,120,411,0.517106651972435,pointwise_by_region,411.0
greedycost,789,295,0.4678260615656572,130,434,0.5256017670016611,pointwise_by_region,434.0
greedycost,1,295,0.4678260615656572,130,419,0.49533025772063244,pointwise_by_region,419.0
greedycost,42,295,0.4678260615656572,130,422,0.5002961151713772,pointwise_by_region,422.0
greedycost,456,295,0.4678260615656572,130,415,0.5102181840258682,pointwise_by_region,415.0
greedycost,123,295,0.4678260615656572,130,418,0.5195426768677285,pointwise_by_region,418.0
greedycost,789,295,0.4678260615656572,140,441,0.5318222579382534,pointwise_by_region,441.0
greedycost,1,295,0.4678260615656572,140,435,0.5186707903027852,pointwise_by_region,435.0
greedycost,42,295,0.4678260615656572,140,436,0.4993449081243292,pointwise_by_region,436.0
greedycost,456,295,0.4678260615656572,140,423,0.5115957669036801,pointwise_by_region,423.0
greedycost,123,295,0.4678260615656572,140,433,0.43023412115254656,pointwise_by_region,433.0
greedycost,789,295,0.4678260615656572,150,453,0.5250984340265142,pointwise_by_region,453.0
greedycost,1,295,0.4678260615656572,150,445,0.5189048755198855,pointwise_by_region,445.0
greedycost,42,295,0.4678260615656572,150,448,0.5014275063790268,pointwise_by_region,448.0
greedycost,456,295,0.4678260615656572,150,427,0.5147055271507992,pointwise_by_region,427.0
greedycost,123,295,0.4678260615656572,150,441,0.5226454558663578,pointwise_by_region,441.0
greedycost,789,295,0.4678260615656572,160,464,0.5223854994879568,pointwise_by_region,464.0
greedycost,1,295,0.4678260615656572,160,452,0.5244329864771977,pointwise_by_region,452.0
greedycost,42,295,0.4678260615656572,160,459,0.5043103278060432,pointwise_by_region,459.0
greedycost,456,295,0.4678260615656572,160,439,0.5152405888456043,pointwise_by_region,439.0
greedycost,123,295,0.4678260615656572,160,447,0.5237582014996089,pointwise_by_region,447.0
greedycost,789,295,0.4678260615656572,170,472,0.524397930645789,pointwise_by_region,472.0
greedycost,1,295,0.4678260615656572,170,455,0.5337793582503494,pointwise_by_region,455.0
greedycost,42,295,0.4678260615656572,170,468,0.5048656906788522,pointwise_by_region,468.0
greedycost,456,295,0.4678260615656572,170,455,0.5161110587269246,pointwise_by_region,455.0
greedycost,123,295,0.4678260615656572,170,461,0.5207702857455647,pointwise_by_region,461.0
greedycost,789,295,0.4678260615656572,180,481,0.5209016205565694,pointwise_by_region,481.0
greedycost,1,295,0.4678260615656572,180,462,0.5101833676952353,pointwise_by_region,462.0
greedycost,42,295,0.4678260615656572,180,482,0.5093097962357653,pointwise_by_region,482.0
greedycost,456,295,0.4678260615656572,180,461,0.5182891847354094,pointwise_by_region,461.0
greedycost,123,295,0.4678260615656572,180,466,0.5201726598546921,pointwise_by_region,466.0
greedycost,789,295,0.4678260615656572,190,491,0.5260779490034652,pointwise_by_region,491.0
greedycost,1,295,0.4678260615656572,190,470,0.5444621508297823,pointwise_by_region,470.0
greedycost,42,295,0.4678260615656572,190,490,0.5125542775392635,pointwise_by_region,490.0
greedycost,456,295,0.4678260615656572,190,475,0.5203739111660131,pointwise_by_region,475.0
greedycost,123,295,0.4678260615656572,190,479,0.5258090244173395,pointwise_by_region,479.0
greedycost,789,295,0.4678260615656572,200,504,0.529786007730352,pointwise_by_region,504.0
greedycost,1,295,0.4678260615656572,200,482,0.5467265147620178,pointwise_by_region,482.0
greedycost,42,295,0.4678260615656572,200,500,0.5139521587088728,pointwise_by_region,500.0
greedycost,456,295,0.4678260615656572,200,480,0.5256876046733274,pointwise_by_region,480.0
greedycost,123,295,0.4678260615656572,200,486,0.5222128738818811,pointwise_by_region,486.0
random,789,295,0.4678260615656572,10,305,0.48736071188137076,pointwise_by_region,305.0
random,1,295,0.4678260615656572,10,305,0.47455546866359266,pointwise_by_region,305.0
random,42,295,0.4678260615656572,10,305,0.4744040262291068,pointwise_by_region,305.0
random,456,295,0.4678260615656572,10,305,0.46915427578550306,pointwise_by_region,305.0
random,123,295,0.4678260615656572,10,305,0.4914959856915754,pointwise_by_region,305.0
random,789,295,0.4678260615656572,20,315,0.4857915757012814,pointwise_by_region,315.0
random,1,295,0.4678260615656572,20,315,0.4717473241181248,pointwise_by_region,315.0
random,42,295,0.4678260615656572,20,314,0.46674068776268596,pointwise_by_region,314.0
random,456,295,0.4678260615656572,20,315,0.47614708255464644,pointwise_by_region,315.0
random,123,295,0.4678260615656572,20,315,0.4718650697698188,pointwise_by_region,315.0
random,789,295,0.4678260615656572,30,325,0.48524300148328703,pointwise_by_region,325.0
random,1,295,0.4678260615656572,30,325,0.4910919458023859,pointwise_by_region,325.0
random,42,295,0.4678260615656572,30,325,0.48788117702804357,pointwise_by_region,325.0
random,456,295,0.4678260615656572,30,325,0.4986296330648239,pointwise_by_region,325.0
random,123,295,0.4678260615656572,30,325,0.47434704079560286,pointwise_by_region,325.0
random,789,295,0.4678260615656572,40,335,0.49820331961242537,pointwise_by_region,335.0
random,1,295,0.4678260615656572,40,335,0.49675348064243474,pointwise_by_region,335.0
random,42,295,0.4678260615656572,40,335,0.4994359947207474,pointwise_by_region,335.0
random,456,295,0.4678260615656572,40,335,0.4956654913769567,pointwise_by_region,335.0
random,123,295,0.4678260615656572,40,335,0.4918434185792969,pointwise_by_region,335.0
random,789,295,0.4678260615656572,50,344,0.49704695037154323,pointwise_by_region,344.0
random,1,295,0.4678260615656572,50,345,0.4851206099690998,pointwise_by_region,345.0
random,42,295,0.4678260615656572,50,345,0.4915201151884323,pointwise_by_region,345.0
random,456,295,0.4678260615656572,50,345,0.48053625441247927,pointwise_by_region,345.0
random,123,295,0.4678260615656572,50,345,0.49589130292119,pointwise_by_region,345.0
random,789,295,0.4678260615656572,60,355,0.4989134213756504,pointwise_by_region,355.0
