Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,429,0.012400459637913253,10,0.09742462806066399
inversetypiclust,1,429,0.012400459637913253,10,0.03413431762913044
inversetypiclust,42,429,0.012400459637913253,10,0.06169691717080894
inversetypiclust,456,429,0.012400459637913253,10,0.06264524491528556
inversetypiclust,123,429,0.012400459637913253,10,0.05132778405483618
inversetypiclust,789,429,0.012400459637913253,20,0.1061589601418893
inversetypiclust,1,429,0.012400459637913253,20,0.09923455933747438
inversetypiclust,42,429,0.012400459637913253,20,0.08386742994862106
inversetypiclust,456,429,0.012400459637913253,20,0.13410790122682026
inversetypiclust,123,429,0.012400459637913253,20,0.08960254830305092
inversetypiclust,789,429,0.012400459637913253,30,0.13256549986997157
inversetypiclust,1,429,0.012400459637913253,30,0.12728854544611778
inversetypiclust,42,429,0.012400459637913253,30,0.14072400522465978
inversetypiclust,456,429,0.012400459637913253,30,0.10328413596118668
inversetypiclust,123,429,0.012400459637913253,30,0.12129792839632247
inversetypiclust,789,429,0.012400459637913253,40,0.14895923865914495
inversetypiclust,1,429,0.012400459637913253,40,0.16013810110901872
inversetypiclust,42,429,0.012400459637913253,40,0.16788644510422668
inversetypiclust,456,429,0.012400459637913253,40,0.15453416858095692
inversetypiclust,123,429,0.012400459637913253,40,0.11341307540801715
inversetypiclust,789,429,0.012400459637913253,50,0.16089775581579147
inversetypiclust,1,429,0.012400459637913253,50,0.22039272004051558
inversetypiclust,42,429,0.012400459637913253,50,0.17828752177140728
inversetypiclust,456,429,0.012400459637913253,50,0.20089482727667696
inversetypiclust,123,429,0.012400459637913253,50,0.13958275052487168
inversetypiclust,789,429,0.012400459637913253,60,0.11894929550688171
inversetypiclust,1,429,0.012400459637913253,60,0.26473864886185183
inversetypiclust,42,429,0.012400459637913253,60,0.19705542328264491
inversetypiclust,456,429,0.012400459637913253,60,0.2039253850416426
inversetypiclust,123,429,0.012400459637913253,60,0.1926670763184829
inversetypiclust,789,429,0.012400459637913253,70,0.26218170647881767
inversetypiclust,1,429,0.012400459637913253,70,0.25714485313466096
inversetypiclust,42,429,0.012400459637913253,70,0.26207392773250604
inversetypiclust,456,429,0.012400459637913253,70,0.2440865158934845
inversetypiclust,123,429,0.012400459637913253,70,0.20703556020429914
inversetypiclust,789,429,0.012400459637913253,80,0.27045159451011613
inversetypiclust,1,429,0.012400459637913253,80,0.3117523177703403
inversetypiclust,42,429,0.012400459637913253,80,0.28562920133202174
inversetypiclust,456,429,0.012400459637913253,80,0.24675811606411413
inversetypiclust,123,429,0.012400459637913253,80,0.21159370923438758
inversetypiclust,789,429,0.012400459637913253,90,0.28956358271407223
inversetypiclust,1,429,0.012400459637913253,90,0.3199358213876663
inversetypiclust,42,429,0.012400459637913253,90,0.27487624942675404
inversetypiclust,456,429,0.012400459637913253,90,0.28218711232358173
